bib,lastname,country,order,group,route
1,BERTONE,FRA,2,,
2,SEKIKAWA,JPN,17,,
3,MACKENZIE,AUS,16,,
4,NAKAMURA,JPN,20,,
6,MORONI,ITA,23,,
8,EDWARDS,GBR,10,,
9,ABRIAT,FRA,15,,
10,ITO,JPN,21,,
11,SEO,KOR,11,,
13,SAUREL,FRA,9,,
15,ELHADJMIMOUNE,FRA,3,,
17,LUO,CHN,5,,
51,MCNEICE,GBR,24,,
52,SANDERS,USA,18,,
53,AVEZOU,FRA,12,,
54,MATSUFUJI,JPN,7,,
55,NONAKA,JPN,22,,
56,KEREM,ISR,19,,
57,ZHANG,CHN,13,,
59,CAULIER,BEL,1,,
60,TESIO,ITA,6,,
63,GIACANI,ITA,4,,
66,PEETERMANS,GBR,14,,
69,AOYAGI,JPN,8,,
